graph,sample_size,sample_id,sampling_strategy,nodes,directed_edges,csv_path,dimacs_path,map_path
banc_626,20000,high_degree_bfs_seed1,high_degree_bfs,20000,504917,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/samples/banc_626.n20000.high_degree_bfs_seed1.csv,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/dimacs/banc_626.n20000.high_degree_bfs_seed1.dimacs,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/maps/banc_626.n20000.high_degree_bfs_seed1.map.csv
banc_626,21000,high_degree_bfs_seed1,high_degree_bfs,21000,570907,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/samples/banc_626.n21000.high_degree_bfs_seed1.csv,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/dimacs/banc_626.n21000.high_degree_bfs_seed1.dimacs,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/maps/banc_626.n21000.high_degree_bfs_seed1.map.csv
fafb_783,20000,high_degree_bfs_seed1,high_degree_bfs,20000,412224,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/samples/fafb_783.n20000.high_degree_bfs_seed1.csv,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/dimacs/fafb_783.n20000.high_degree_bfs_seed1.dimacs,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/maps/fafb_783.n20000.high_degree_bfs_seed1.map.csv
fafb_783,21000,high_degree_bfs_seed1,high_degree_bfs,21000,438771,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/samples/fafb_783.n21000.high_degree_bfs_seed1.csv,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/dimacs/fafb_783.n21000.high_degree_bfs_seed1.dimacs,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/maps/fafb_783.n21000.high_degree_bfs_seed1.map.csv
manc_1.2.1,20000,high_degree_bfs_seed1,high_degree_bfs,20000,4697914,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/samples/manc_1.2.1.n20000.high_degree_bfs_seed1.csv,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/dimacs/manc_1.2.1.n20000.high_degree_bfs_seed1.dimacs,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/maps/manc_1.2.1.n20000.high_degree_bfs_seed1.map.csv
manc_1.2.1,21000,high_degree_bfs_seed1,high_degree_bfs,21000,4847162,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/samples/manc_1.2.1.n21000.high_degree_bfs_seed1.csv,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/dimacs/manc_1.2.1.n21000.high_degree_bfs_seed1.dimacs,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/maps/manc_1.2.1.n21000.high_degree_bfs_seed1.map.csv
maol_1.1,20000,high_degree_bfs_seed1,high_degree_bfs,20000,1811574,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/samples/maol_1.1.n20000.high_degree_bfs_seed1.csv,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/dimacs/maol_1.1.n20000.high_degree_bfs_seed1.dimacs,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/maps/maol_1.1.n20000.high_degree_bfs_seed1.map.csv
maol_1.1,21000,high_degree_bfs_seed1,high_degree_bfs,21000,1641423,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/samples/maol_1.1.n21000.high_degree_bfs_seed1.csv,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/dimacs/maol_1.1.n21000.high_degree_bfs_seed1.dimacs,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/maps/maol_1.1.n21000.high_degree_bfs_seed1.map.csv
mcns_0.9,20000,high_degree_bfs_seed1,high_degree_bfs,20000,398869,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/samples/mcns_0.9.n20000.high_degree_bfs_seed1.csv,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/dimacs/mcns_0.9.n20000.high_degree_bfs_seed1.dimacs,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/maps/mcns_0.9.n20000.high_degree_bfs_seed1.map.csv
mcns_0.9,21000,high_degree_bfs_seed1,high_degree_bfs,21000,438838,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/samples/mcns_0.9.n21000.high_degree_bfs_seed1.csv,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/dimacs/mcns_0.9.n21000.high_degree_bfs_seed1.dimacs,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/maps/mcns_0.9.n21000.high_degree_bfs_seed1.map.csv
